nombre_lugar,tipo_experiencia,rating,direccion,Reviews
Mercado De Artesanías La Ciudadela,Artesanías,4.5,"Balderas S/N, Colonia Centro, Centro, Cuauhtémoc, 06040 Cuauhtémoc, CDMX",17700
Embarcadero Cuemanco la isla papu,Ecoturismo,4.3,"Periferico Sur, Adolfo Ruíz Cortínez, Xochimilco, 16034 Ciudad de México, CDMX, México",13186
La Marquesa,Ecoturismo,4.5,"Parque La Marqueza, Parques Nacionales, 50100 Toluca de Lerdo, Méx.",7555
Ex Convento Desierto de los Leones,Ecoturismo,4.6,"Carr Toluca - México s/n, Cuajimalpa de Morelos, 05020 La Venta, CDMX",15871
Ajusco,Ecoturismo,4.4,"19.2302072,-99.1787687",170
Rancho Mágico,Ecoturismo,4.5,"Camino Real, Oyameyo 50, San Miguel Topilejo, Tlalpan, 14500 Ciudad de México, CDMX",2237
Parque Nacional Iztaccíhuatl - Popocatépetl,Ecoturismo,4.5,"Plaza de la Constitucion 10-B, Centro, 56900 Amecameca de Juárez, Méx.",24405
Bosque de Chapultepec,Ecoturismo,4.6,"19.4063076,-99.2094552",179000
Parque Bicentenario,Ecoturismo,4.7,"Av. 5 de Mayo 290, San Lorenzo Tlaltenango, Miguel Hidalgo, 11210 Ciudad de México, CDMX",34000
Trajineras Xochimilco magico,Ecoturismo,4.1,"Camino a Nativitas 58, Xaltocan, Xochimilco, 16090 Ciudad de México, CDMX",531
Globopuerto Teotihuacán,Ecoturismo,4.5,"Carretera Federal Mexico, Tulancingo - Ecatepec De Morelos Km 28.1, Constitucion de 1917, 55850 San Martín Centro, Méx.",398
PISTA MOTOCROSS CHILUCA,Ecoturismo,4.6,"Eje Vial 3 Poniente 5""N, Juárez, Méx.",100
Skydive México - Paracaidismo Tequesquitengo,Ecoturismo,4.8,"Emiliano Zapata 19, 62680 San José Vista Hermosa, Mor.",3980
Bosque de San Juan de Aragón,Ecoturismo,4.3,"Calle José Loreto Fabela s/n, Gustavo A. Madero, San Juan de Aragón Sección II, 07969 Ciudad de México, CDMX",16300
Parque Tezozómoc,Ecoturismo,4.4,"Manuel Salazar S/N, Hacienda del Rosario, Prados del Rosario, Azcapotzalco, 02410 Ciudad de México, CDMX",19000
San Nicolás Totolapan Ejido Park,Ecoturismo,4.6,"Km 11.5, Carr. Picacho-Ajusco, Panoramica, 10900 Ciudad de México, CDMX",2967
Las Estacas Parque Natural,Ecoturismo,4.7,"Carretera Tlaltizapan-Cuautla, Bonifacio García 6, 62770 Tlaltizapán, Mor.",8200
Parque Nacional El Chico,Ecoturismo,4.8,"Carretera 105 Pachuca -Tampico con Desviacion a Mineral del Chico Km 7.5, Mineral del Chico, Hgo.",4600
Xochitla,Ecoturismo,4.5,"Carretera Circunvalación s/n, El Trebol, 54600 Tepotzotlán, Méx.",10300
Presa del Llano,Ecoturismo,4.6,"Carretera Villa del Carbón-Toluca, Las Vigas, Villa del Carbón, Méx.",2870
Hacienda Panoaya,Ecoturismo,4.5,"Carr Federal México-Cuautla Km 58, Panoaya, 56900 Amecameca de Juárez, Méx.",19300
Campamento La Isla Tzibanzá,Ecoturismo,4.4,"La Isla 115, 76547 Tzibantzá, Qro.",541
PARQUE MASAYOSHI OHIRA,Ecoturismo,4.3,"Corredores Esq, Country Club Churubusco, Coyoacán, 04220 Ciudad de México, CDMX",12200
Tlalpan National Park,Ecoturismo,4.6,"Camino a Sta. Teresa S / N, Parques del Pedregal, Tlalpan, 14010 Tlalpan, CDMX",14500
Parque Lincoln,Ecoturismo,4.6,"Av. Emilio Castelar 163, Polanco, Polanco III Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",13100
Alameda de Santa María,Ecoturismo,4.6,"Santa María la Ribera, Cuauhtémoc, 06400 Mexico City",18500
Mercado de San Juan,Mercado,4.5,"2ᵃ Calle de Ernesto Pugibet 21, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",10800
Coyoacan Market,Mercado,4.4,"Ignacio Allende s/n, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX",28000
Mercado Roma,Mercado,4.3,"Calle Querétaro 225, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",11290
Mercado Medellín,Mercado,4.3,"Campeche 101, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX",10900
San Pedro de los Pinos Market,Mercado,4.3,"Calle Av. Dos S/N, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX",6700
Escandon Market,Mercado,4.2,"Esquina con Agricultura, Av. José Martí, Escandón I Secc, 11800 Ciudad de México",4100
Mercado de Sonora,Mercado,4.2,"Fray Servando Teresa de Mier 419, Merced Balbuena, Venustiano Carranza, 15800 Ciudad de México, CDMX",56100
Pujol,Mexicana,4.6,Tennyson 133,3161
Chapulín,Mexicana,4.6,Campos Eliseos 218,1004
Restaurante Tierra Linda,Mexicana,4.6,Lago Maracaibo,848
Hacienda de los Morales,Mexicana,4.6,Juan Vazquez de Mella 525,11055
Dulce Patria,Mexicana,4.5,Anatole France 100,1418
Mexicano Masaryk,Mexicana,4.7,Av. Pdte. Masaryk 192,128
Prendes,Mexicana,4.6,Palacio de Hierro 222,635
El Lago Restaurante,Mexicana,4.5,"Lago Mayor S/N, 2º sección del Bosque de Chapultepec",4922
Quintonil,Mexicana,4.6,Av. Isaac Newton 55,1324
Guzina Oaxaca,Mexicana,4.5,Av. Pdte. Masaryk 513,980
Restaurante El Cardenal,Mexicana,4.6,Av. Paseo de las Palmas No. 215,4654
Huaraches 5 de Mayo,Mexicana,4.6,"cerca de, C. Lago San Pedro 117",1184
Porfirio's Masaryk | Restaurante de comida mexicana,Mexicana,4.5,Av. Pdte. Masaryk 214,3269
San Ángel Inn,Mexicana,4.7,Diego Rivera 50,5923
Restaurante El Cardenal,Mexicana,4.7,Avenida de la Paz 32,7083
"Comida Mexicana ""Las Cazuelitas""",Mexicana,4.7,Alfonso Baldayana 76,160
Las Enchiladas del Parque,Mexicana,4.5,Av. el Parque 2 local 3,276
Guadiana San Ángel,Mexicana,4.5,Pedro Luis Ogazón 102,641
La Casa del Abuelo (Desayunos),Mexicana,4.5,Dolores del Río 49,49
La Imperial Samara Santa Fe,Mexicana,4.5,Av Sta Fe 94,700
La Jefa,Mexicana,4.8,Calle Ajusco 52,51
Los Amables,Mexicana,4.6,Ciudad Universitaria 307,387
Toro Latin Kitchen,Mexicana,4.6,Av. Javier Barros Sierra 540,258
Los Arcos Restaurant,Mexicana,4.6,Av. San Jeronimo 215,2353
Rincón de mi Tierra,Mexicana,4.6,Culiacan 66,156
Jojula,Mexicana,4.6,Central Sur 618,1335
La Perla Tapatía Azcapotzalco,Mexicana,4.6,"CCPM Azcapotzalco, Av Azcapotzalco 706",1323
Cochinita Pibil Kooben,Mexicana,4.6,Calle 15 169,363
Mi Pueblo Nuevo,Mexicana,4.6,Antigua Calz. de Guadalupe 90,890
Alberto's,Mexicana,4.6,Calle Tepantongo 246,953
Fonda Mexicana EL SAUCE,Mexicana,4.6,Calle 19 185,70
El Rincón Gourmet,Mexicana,4.5,Hacienda Escolástica 131B,481
Birria Alex Chacón,Mexicana,4.7,Acatl 289,208
Las Delicias de Jalisco,Mexicana,4.5,Av. Plan de San Luis 455,728
"Restaurante ""Mi Morenita""",Mexicana,4.6,Cerca de Norte 67 #2906 esquina poniente 54,276
Gorditas michoacanas cano,Mexicana,4.5,Avenida Ceylan 421,179
"Las Klayudas, tlayudas y antojitos oaxaqueños",Mexicana,4.7,San Marcos No. 7,86
Los Tacos De Pepe,Mexicana,4.6,Miguel Lerdo de Tejada,73
Barbacoa Renatos,Mexicana,4.7,Jacarandas 443,208
Tacos Richard,Mexicana,4.6,Calle Camino a Nextengo 102,128
Los Jarochos de Nextengo,Mexicana,4.5,Calle Camino a Nextengo #188 Colonia,2374
El Olmo Azul,Mexicana,4.9,Cuauhtemoc 7,69
Amatista Tostadas,Mexicana,4.7,Centenario 31A,654
"A darle, que es taco vegano",Mexicana,4.6,Heroes del 47 121,362
Pepe Coyotes Mercado Coyoacán,Mexicana,4.5,Av Miguel Hidalgo 297,4011
El Gnomo,Mexicana,4.6,Av. Universidad 1894,2369
"Pozolería ""Linda""",Mexicana,4.3,Tabasco Pte 10,264
Carnitas El Amigo Campos,Mexicana,4.4,Blvd. Nuevo Leon Puente 157,300
EL ASADOR TAQUERÍA,Mexicana,4.3,Av. México Nte. 5,309
Pulques Artesanales Milpa Alta,Mexicana,4.5,"Orizaba 168, Barrio",51
La Capital,Mexicana,4.5,"Av Nuevo León 137, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX",1510
La Tecla,Mexicana,4.5,"Calle de Durango 186-A, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",532
Alba Cocina Local,Mexicana,4.6,"Calle Marsella 80, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",276
