conteo_reviews,ambiente,recomendable,ambiente_norm,recomendable_norm
65,12.0,23.0,0.18461538461538463,0.35384615384615387
95,10.0,59.0,0.10526315789473684,0.6210526315789474
82,11.0,59.0,0.13414634146341464,0.7195121951219512
68,16.0,63.0,0.23529411764705882,0.9264705882352942
63,4.0,28.0,0.06349206349206349,0.4444444444444444
85,37.0,61.0,0.43529411764705883,0.7176470588235294
75,6.0,49.0,0.08,0.6533333333333333
81,11.0,40.0,0.13580246913580246,0.49382716049382713
81,25.0,56.0,0.30864197530864196,0.691358024691358
55,14.0,26.0,0.2545454545454545,0.4727272727272727
91,13.0,43.0,0.14285714285714285,0.4725274725274725
72,14.0,33.0,0.19444444444444445,0.4583333333333333
94,14.0,71.0,0.14893617021276595,0.7553191489361702
88,14.0,45.0,0.1590909090909091,0.5113636363636364
81,25.0,28.0,0.30864197530864196,0.345679012345679
78,15.0,46.0,0.19230769230769232,0.5897435897435898
80,19.0,45.0,0.2375,0.5625
107,41.0,108.0,0.38317757009345793,1.0093457943925233
78,8.0,68.0,0.10256410256410256,0.8717948717948718
92,25.0,49.0,0.2717391304347826,0.532608695652174
83,27.0,60.0,0.3253012048192771,0.7228915662650602
76,22.0,36.0,0.2894736842105263,0.47368421052631576
76,10.0,37.0,0.13157894736842105,0.4868421052631579
77,32.0,61.0,0.4155844155844156,0.7922077922077922
83,23.0,45.0,0.27710843373493976,0.5421686746987951
79,14.0,54.0,0.17721518987341772,0.6835443037974683
102,51.0,48.0,0.5,0.47058823529411764
79,21.0,61.0,0.26582278481012656,0.7721518987341772
73,23.0,53.0,0.3150684931506849,0.726027397260274
54,9.0,41.0,0.16666666666666666,0.7592592592592593
105,38.0,91.0,0.3619047619047619,0.8666666666666667
68,19.0,43.0,0.27941176470588236,0.6323529411764706
84,14.0,63.0,0.16666666666666666,0.75
69,15.0,42.0,0.21739130434782608,0.6086956521739131
80,13.0,50.0,0.1625,0.625
88,23.0,43.0,0.26136363636363635,0.48863636363636365
46,11.0,33.0,0.2391304347826087,0.717391304347826
68,18.0,30.0,0.2647058823529412,0.4411764705882353
120,55.0,133.0,0.4583333333333333,1.1083333333333334
98,19.0,65.0,0.19387755102040816,0.6632653061224489
178,36.0,140.0,0.20224719101123595,0.7865168539325843
76,22.0,40.0,0.2894736842105263,0.5263157894736842
110,20.0,77.0,0.18181818181818182,0.7
66,24.0,45.0,0.36363636363636365,0.6818181818181818
62,7.0,36.0,0.11290322580645161,0.5806451612903226
79,28.0,59.0,0.35443037974683544,0.7468354430379747
87,13.0,60.0,0.14942528735632185,0.6896551724137931
76,23.0,47.0,0.3026315789473684,0.618421052631579
82,17.0,57.0,0.2073170731707317,0.6951219512195121
73,21.0,59.0,0.2876712328767123,0.8082191780821918
