conteo_reviews,comida,servicio,ambiente,satisfaccion,specials,comida_norm,servicio_norm,ambiente_norm,satisfaccion_norm
61,66.0,20.0,14.0,24.0,,1.0819672131147542,0.32786885245901637,0.22950819672131148,0.39344262295081966
36,21.0,3.0,9.0,14.0,,0.5833333333333334,0.08333333333333333,0.25,0.3888888888888889
41,40.0,15.0,16.0,23.0,pozole-tacos,0.975609756097561,0.36585365853658536,0.3902439024390244,0.5609756097560976
57,68.0,29.0,25.0,27.0,,1.1929824561403508,0.5087719298245614,0.43859649122807015,0.47368421052631576
94,50.0,47.0,14.0,47.0,nogada-chocolate-carne,0.5319148936170213,0.5,0.14893617021276595,0.5
67,42.0,30.0,19.0,37.0,nogada-chocolate-tacos,0.6268656716417911,0.44776119402985076,0.2835820895522388,0.5522388059701493
93,99.0,44.0,20.0,45.0,yucateca-cochinita-tacos,1.064516129032258,0.4731182795698925,0.21505376344086022,0.4838709677419355
95,90.0,30.0,12.0,26.0,carne-carnitas-tacos,0.9473684210526315,0.3157894736842105,0.12631578947368421,0.2736842105263158
78,66.0,20.0,2.0,28.0,carne,0.8461538461538461,0.2564102564102564,0.02564102564102564,0.358974358974359
87,112.0,33.0,12.0,31.0,yucateca-cochinita-tortas-tacos,1.2873563218390804,0.3793103448275862,0.13793103448275862,0.3563218390804598
87,49.0,17.0,3.0,12.0,mariscos-carne-carnitas-tacos,0.5632183908045977,0.19540229885057472,0.034482758620689655,0.13793103448275862
86,73.0,17.0,1.0,33.0,carne-tortas-carnitas-tacos,0.8488372093023255,0.19767441860465115,0.011627906976744186,0.38372093023255816
93,94.0,41.0,6.0,23.0,carne-pozole-tacos-birria-enchiladas,1.010752688172043,0.44086021505376344,0.06451612903225806,0.24731182795698925
56,55.0,16.0,12.0,27.0,chocolate,0.9821428571428571,0.2857142857142857,0.21428571428571427,0.48214285714285715
327,282.0,249.0,30.0,198.0,cochinita-mole-nogada-chocolate-enchiladas,0.8623853211009175,0.7614678899082569,0.09174311926605505,0.6055045871559633
115,147.0,47.0,5.0,62.0,carne-chocolate-mole,1.2782608695652173,0.40869565217391307,0.043478260869565216,0.5391304347826087
105,95.0,62.0,17.0,79.0,carnitas-tacos-mole-nogada-chocolate,0.9047619047619048,0.5904761904761905,0.1619047619047619,0.7523809523809524
103,101.0,43.0,0.0,21.0,carne-tortas-pozole-tacos,0.9805825242718447,0.4174757281553398,0.0,0.20388349514563106
59,47.0,23.0,23.0,22.0,carne,0.7966101694915254,0.3898305084745763,0.3898305084745763,0.3728813559322034
93,92.0,46.0,10.0,58.0,carne-tacos-mole-chocolate-barbacoa-enchiladas,0.989247311827957,0.4946236559139785,0.10752688172043011,0.6236559139784946
113,107.0,37.0,10.0,46.0,carne-cochinita,0.9469026548672567,0.3274336283185841,0.08849557522123894,0.40707964601769914
43,41.0,8.0,1.0,4.0,carne-tacos,0.9534883720930233,0.18604651162790697,0.023255813953488372,0.09302325581395349
89,33.0,31.0,10.0,42.0,mole-chocolate-tacos,0.3707865168539326,0.34831460674157305,0.11235955056179775,0.47191011235955055
88,76.0,39.0,8.0,56.0,chocolate-mole,0.8636363636363636,0.4431818181818182,0.09090909090909091,0.6363636363636364
86,96.0,66.0,12.0,37.0,mariscos-tacos,1.1162790697674418,0.7674418604651163,0.13953488372093023,0.43023255813953487
87,71.0,46.0,23.0,45.0,carne-nogada,0.8160919540229885,0.5287356321839081,0.26436781609195403,0.5172413793103449
85,52.0,45.0,18.0,50.0,tacos,0.611764705882353,0.5294117647058824,0.21176470588235294,0.5882352941176471
75,29.0,15.0,7.0,13.0,mariscos-barbacoa-carnitas-tacos,0.38666666666666666,0.2,0.09333333333333334,0.17333333333333334
89,110.0,46.0,26.0,32.0,carnitas-enchiladas,1.2359550561797752,0.5168539325842697,0.29213483146067415,0.3595505617977528
63,52.0,31.0,13.0,25.0,tacos,0.8253968253968254,0.49206349206349204,0.20634920634920634,0.3968253968253968
72,70.0,25.0,0.0,27.0,carne-carnitas-tacos,0.9722222222222222,0.3472222222222222,0.0,0.375
111,88.0,52.0,29.0,63.0,carne-chocolate-mole-tacos,0.7927927927927928,0.46846846846846846,0.26126126126126126,0.5675675675675675
69,65.0,11.0,0.0,16.0,carne-carnitas-tacos,0.9420289855072463,0.15942028985507245,0.0,0.2318840579710145
94,78.0,47.0,5.0,34.0,mariscos-tacos,0.8297872340425532,0.5,0.05319148936170213,0.3617021276595745
88,80.0,49.0,30.0,52.0,,0.9090909090909091,0.5568181818181818,0.3409090909090909,0.5909090909090909
85,80.0,40.0,9.0,36.0,pozole,0.9411764705882353,0.47058823529411764,0.10588235294117647,0.4235294117647059
90,66.0,17.0,0.0,20.0,carne-mole,0.7333333333333333,0.18888888888888888,0.0,0.2222222222222222
89,77.0,21.0,2.0,20.0,carne-carnitas-tacos-tortas-birria-barbacoa,0.8651685393258427,0.23595505617977527,0.02247191011235955,0.2247191011235955
98,84.0,30.0,1.0,37.0,carne-tacos,0.8571428571428571,0.30612244897959184,0.01020408163265306,0.37755102040816324
97,73.0,47.0,29.0,57.0,nogada,0.7525773195876289,0.4845360824742268,0.29896907216494845,0.5876288659793815
